City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
413,kayes,14.0,-11.0,25.29,20,99,0.78,ML,1701662328
414,isla mujeres,21.2311,-86.731,26.76,85,80,4.32,MX,1701662328
415,amantea,39.1332,16.0746,9.53,59,71,1.33,IT,1701662328
416,nikfer,37.4054,29.1373,6.23,93,30,1.4,TR,1701662328
417,blackwater,-23.5833,148.8833,34.18,33,21,3.92,AU,1701662328
418,willemstad,12.1084,-68.9335,27.95,78,20,5.66,CW,1701662329
419,yelabuga,55.7613,52.0649,-5.25,96,100,5.04,RU,1701662329
420,mombetsu,44.3525,143.3525,3.01,60,20,3.09,JP,1701662329
421,marathon,44.9,-89.7668,0.58,93,100,1.54,US,1701662329
422,mejit,10.2753,170.8646,27.22,76,100,9.08,MH,1701662329
423,hami,42.8,93.45,3.23,31,3,2.78,CN,1701662329
424,beipiao,41.7919,120.7792,5.16,28,43,1.47,CN,1701662329
425,uporovo,56.3109,66.2693,-18.94,96,100,1.3,RU,1701662329
426,the dalles,45.5946,-121.1787,14.28,94,100,1.79,US,1701662330
427,manzini,-26.25,31.5,16.19,79,28,0.44,SZ,1701662330
428,revda,56.801,59.9303,-12.35,94,100,3.79,RU,1701662330
429,kilindoni,-7.9139,39.6668,26.93,76,99,2.02,TZ,1701662330
430,hithadhoo,-0.6,73.0833,28.02,76,100,3.08,MV,1701662330
431,hovd,48.0056,91.6419,1.77,46,62,9.33,MN,1701662330
432,hadibu,12.65,54.0333,25.98,59,100,7.38,YE,1701662330
433,argo,37.6333,22.7333,14.88,77,94,1.21,GR,1701662331
434,lashio,22.9333,97.75,22.93,64,81,0.82,MM,1701662091
435,puerto san jose,13.9256,-90.8244,25.91,78,3,0.62,GT,1701662331
436,lumut,4.2323,100.6298,31.01,70,20,2.57,MY,1701662331
437,turkmenbasy,40.0222,52.9552,13.43,50,0,2.06,TM,1701662331
438,chaiyaphum,15.75,102.0,29.33,58,100,5.49,TH,1701662331
439,namie,37.4833,141.0,12.06,50,2,3.07,JP,1701662331
440,pul-e khumri,35.9446,68.7151,14.22,32,0,1.67,AF,1701662331
441,horta,38.5333,-28.6333,12.23,73,42,3.13,PT,1701662331
442,verkhnevilyuysk,63.4453,120.3167,-43.05,98,79,0.4,RU,1701662332
443,papar,5.7333,115.9333,31.0,71,100,2.76,MY,1701662332
444,batie,9.8833,-2.9167,24.3,19,66,1.81,BF,1701662332
445,quellon,-43.1167,-73.6167,7.87,93,8,4.1,CL,1701662332
446,teploye,53.6202,37.5903,-10.87,94,100,6.55,RU,1701662332
447,plastun,44.7561,136.2939,2.51,39,5,1.5,RU,1701662332
448,savanna-la-mar,18.219,-78.1332,27.97,87,18,1.22,JM,1701662332
449,broken hill,-31.95,141.4333,34.07,12,0,3.25,AU,1701662332
450,mili,6.0815,171.735,28.06,80,83,8.8,MH,1701662333
451,aras-asan,8.8908,126.3033,28.97,70,96,2.12,PH,1701662333
